mechanism_id,track,hypothesis,standalone_signal,fixed_trading_proxy,data_requirements,execution_requirement,status
TS_MOMENTUM,equity_time_series,intermediate returns predict continuation,20D return sign,1/N long or short for fixed 5D hold,daily close point-in-time corporate actions,EOD proxy initially,PLANNED
TS_REVERSAL,equity_time_series,short-horizon returns predict reversal,5D return sign inverted,1/N contra-position for fixed 5D hold,daily close point-in-time corporate actions,EOD proxy initially,PLANNED
VOL_CLUSTER,equity_time_series,volatility state predicts conditional return or volatility,20D realized-volatility state,fixed regime-conditioned position with no fitted threshold,daily OHLCV,EOD proxy initially,PLANNED
VOLUME_SHOCK,equity_time_series,abnormal volume predicts subsequent return/continuation,20D volume z-score sign,fixed 5D directional proxy,daily close and volume,EOD proxy initially,PLANNED
XS_MOMENTUM,equity_cross_section,cross-sectional winners continue,20D cross-sectional return rank,dollar-neutral top-vs-bottom equal-risk basket,PIT constituent membership plus security prices,security-level EOD fills for final,DATA_REQUIRED
XS_REVERSAL,equity_cross_section,cross-sectional losers mean-revert,5D cross-sectional return rank inverted,dollar-neutral top-vs-bottom equal-risk basket,PIT constituent membership plus security prices,security-level EOD fills for final,DATA_REQUIRED
LIQUIDITY_EFFECT,equity_cross_section,liquidity/size proxies predict returns,20D turnover/liquidity rank,equal-risk liquid-vs-illiquid basket,PIT membership plus volume and prices,security-level EOD fills for final,DATA_REQUIRED
FUT_BASIS,futures,cash-futures basis mean reverts,annualized near-future basis,basis-convergence fixed horizon,spot futures settlement contract master lot size,EOD proxy then execution,DATA_READY_CHECK
FUT_TERM,futures,calendar basis/roll dislocation mean reverts,near-vs-next basis,fixed calendar spread convergence,futures curve and PIT expiry/lot data,EOD proxy then execution,DATA_READY_CHECK
EXPIRY_EFFECT,futures_options,expiry/roll creates predictable return or volume patterns,days-to-expiry state,fixed expiry-window position,futures/options EOD with expiry and OI,EOD proxy initially,DATA_READY_CHECK
VRP,options,implied variance exceeds subsequent realized variance,constant-maturity ATM IV minus realized-vol proxy,fixed premium-selling or variance-relative-value proxy with predefined risk cap,PIT IV underlying rates contract/lot data,execution required for final,DATA_READY
JUMP_PREMIUM,options,jump or tail pricing differs from realized jump behavior,frozen downside-wing jump proxy,fixed tail-risk structure or diagnostic return proxy,PIT option surface plus realized jumps,execution required,DATA_READY
DOWN_SKEW,surface,downside skew predicts subsequent surface evolution,30D downside skew,fixed skew structure from preregistered geometry,PIT option surface,execution required,DISCOVERY_POSITIVE_PREDICTIVE_ONLY
UP_SKEW,surface,upside skew predicts subsequent surface evolution,30D upside skew,fixed upside relative-value proxy,PIT option surface,execution required,DISCOVERY_POSITIVE_PREDICTIVE_ONLY
TERM_SLOPE,surface,30D-60D term slope predicts later surface change,30D-60D ATM term slope,fixed calendar proxy,PIT option surface,execution required,DISCOVERY_POSITIVE_PREDICTIVE_ONLY
